spp,x,y
Astyanax fasciatus,-83.98333,10.43333
Astyanax fasciatus,-83.98333,10.43333
Astyanax fasciatus,-103.4828,31.44722
Astyanax fasciatus,-83.98333,10.43333
Astyanax fasciatus,-83.98333,10.43333
Astyanax fasciatus,-85.26395,10.43291
Astyanax fasciatus,-83.99109,10.42841
Astyanax fasciatus,-83.99109,10.42841
Astyanax fasciatus,-83.97113,10.42503
Astyanax fasciatus,-83.99109,10.42841
Astyanax fasciatus,-83.94984,10.40511
Astyanax fasciatus,-83.99109,10.42841
Astyanax fasciatus,-84.04813,10.40021
Astyanax fasciatus,-83.96619,10.42079
Astyanax bimaculatus,-67.42206,8.476604
Astyanax fasciatus,-67.42206,8.476604
Astyanax fasciatus,-83.50278,10.53944
Astyanax fasciatus,-83.50278,10.53944
Astyanax fasciatus,-83.50278,10.53944
Astyanax fasciatus,-83.50278,10.53944
Astyanax fasciatus,-83.50278,10.53944
Astyanax fasciatus,-83.50278,10.53944
Astyanax fasciatus,-83.50278,10.53944
Astyanax bimaculatus,-62.81411,7.312323
Astyanax bimaculatus,-62.81411,7.312323
Astyanax bimaculatus,-62.81411,7.312323
Astyanax bimaculatus,-62.81411,7.312323
Astyanax bimaculatus,-62.865,7.425833
Astyanax bimaculatus,-62.81411,7.312323
Astyanax bimaculatus,-62.81411,7.312323
Astyanax bimaculatus,-66.48611,8.075
Astyanax bimaculatus,-69.26285,8.813404
Astyanax bimaculatus,-69.26285,8.813404
Astyanax fasciatus,-103.4764,31.44
Astyanax fasciatus,-101.2351,27.19647
Astyanax fasciatus,-104.2928,29.52167
Astyanax fasciatus,-98.93654,23.93723
Astyanax fasciatus,-99.16676,24.34249
Astyanax fasciatus,-99.54681,24.57041
Astyanax fasciatus,-98.93658,23.9373
Astyanax fasciatus,-97.9076,23.12379
Astyanax fasciatus,-98.25,30.38333
Astyanax fasciatus,-97.00525,17.93072
Astyanax fasciatus,-97.95374,23.16615
Astyanax fasciatus,-87.36391,13.4154
Astyanax fasciatus,-99.38322,22.58611
Astyanax fasciatus,-93.8551,16.27389
Astyanax fasciatus,-99.52206,21.33024
Astyanax fasciatus,-99.50401,21.35629
Astyanax fasciatus,-99.36031,22.52027
Astyanax fasciatus,-91.82323,15.9189
Astyanax fasciatus,-99.52126,21.33033
Astyanax fasciatus,-99.54681,24.57034
Astyanax fasciatus,-99.63953,21.44436
Astyanax fasciatus,-92.43866,15.12011
Astyanax fasciatus,-99.63592,21.44464
Astyanax fasciatus,-99.09057,24.32365
Astyanax bimaculatus,-75.18,-9.38
Astyanax fasciatus,-88.197598,17.51888
Astyanax bimaculatus,-56.5431,4.5417
Astyanax bimaculatus,-56.4997,4.3636
Astyanax bimaculatus,-56.5483,4.5319
Astyanax fasciatus,-57.4817,-22.375
Astyanax fasciatus,-57.465,-22.4022
Astyanax fasciatus,-89.146511,17.069148
Astyanax fasciatus,-56.955462,-25.659163
Astyanax fasciatus,-54.585565,-25.659594
Astyanax fasciatus,-88.354141,17.425655
Astyanax fasciatus,-89.045365,16.200243
Astyanax fasciatus,-88.683333,17.15
Astyanax fasciatus,-88.440981,16.559166
Astyanax fasciatus,-88.571706,17.599896
Astyanax fasciatus,-89.979547,16.181321
Astyanax fasciatus,-88.392724,17.458127
Astyanax fasciatus,-88.886326,16.256365
Astyanax fasciatus,-88.554925,17.301076
Astyanax fasciatus,-88.554925,17.301076
Astyanax fasciatus,-88.589413,17.968285
Astyanax fasciatus,-88.946095,16.25884
Astyanax fasciatus,-88.416168,16.71771
Astyanax fasciatus,-88.431911,17.543202
Astyanax bimaculatus,-35.167859,-6.116627
Astyanax fasciatus,-89.004133,17.201998
Astyanax fasciatus,-88.414162,16.514939
Astyanax fasciatus,-89.081128,16.166664
Astyanax fasciatus,-89.145481,17.063466
Astyanax fasciatus,-84.758762,10.060874
Astyanax fasciatus,-88.564925,17.351095
Astyanax fasciatus,-88.405861,17.485881
Astyanax fasciatus,-88.742412,17.498231
Astyanax bimaculatus,-67.809296,5.236771
Astyanax fasciatus,-84.961982,10.210054
Astyanax fasciatus,-88.789985,17.262309
Astyanax fasciatus,-88.542476,17.454199
Astyanax fasciatus,-84.846457,10.088035
Astyanax fasciatus,-88.886326,16.256365
Astyanax bimaculatus,-67.583534,5.557144
Astyanax fasciatus,-88.928365,16.217765
Astyanax fasciatus,-88.561145,16.520697
Astyanax fasciatus,-88.416168,16.71771
Astyanax fasciatus,-88.947715,16.27003
Astyanax fasciatus,-88.947715,16.27003
Astyanax fasciatus,-88.947715,16.27003
Astyanax fasciatus,-88.40953,17.463638
Astyanax fasciatus,-88.849605,17.899467
Astyanax fasciatus,-88.673791,18.130126
Astyanax fasciatus,-88.724736,17.600274
Astyanax fasciatus,-88.965147,16.178359
Astyanax fasciatus,-88.949855,16.166552
Astyanax fasciatus,-85.122674,10.472125
Astyanax fasciatus,-85.122674,10.472125
Astyanax fasciatus,-84.168003,9.451545
Astyanax fasciatus,-89.048442,17.184821
Astyanax fasciatus,-89.070456,17.183614
Astyanax fasciatus,-88.34732,16.862376
Astyanax fasciatus,-88.646697,16.471431
Astyanax fasciatus,-88.620336,17.089724
Astyanax fasciatus,-88.321307,16.99127
Astyanax fasciatus,-88.338337,17.085201
Astyanax bimaculatus,-66.271817,8.266877
Astyanax fasciatus,-89.045622,16.200325
Astyanax fasciatus,-88.302751,16.99966
Astyanax fasciatus,-88.789658,17.260792
Astyanax fasciatus,-88.570898,17.610276
Astyanax fasciatus,-88.197598,17.51888
Astyanax fasciatus,-88.580575,17.055874
Astyanax fasciatus,-88.396663,17.655549
Astyanax fasciatus,-88.312342,16.96123
Astyanax fasciatus,-88.564214,17.325091
Astyanax fasciatus,-89.037361,16.996842
Astyanax fasciatus,-88.554925,17.301076
Astyanax fasciatus,-89.072842,17.322743
Astyanax fasciatus,-88.554925,17.301076
Astyanax fasciatus,-85.122674,10.472125
Astyanax fasciatus,-88.882887,16.155318
Astyanax fasciatus,-88.709491,17.149053
Astyanax fasciatus,-89.031986,16.965187
